,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,89.65,285.27,10.55,22.78,2.53,16.66,5.26,283.25,8.64,119.59,111.18
wg,58.25,0.00,11.42,2.35,7.97,0.58,1.08,0.58,47.27,6.26,18.21,14.81
wh,410.77,11.57,0.00,158.36,17.31,17.17,56.99,10.25,585.47,36.45,224.60,211.54
wl,10.08,1.87,132.05,0.00,0.63,0.00,1.10,1.95,59.81,4.34,36.90,10.67
wm,5.88,1.93,21.21,2.90,0.00,2.77,14.26,1.24,7.12,3.80,0.79,67.59
wn,1.06,1.68,23.63,0.60,0.79,0.00,12.61,1.18,3.09,0.00,17.98,5.94
wo,30.65,4.07,54.43,4.80,3.38,3.95,0.00,4.88,60.96,10.30,8.42,65.57
wq,9.66,0.08,19.73,0.51,0.00,0.00,5.63,0.00,4.65,0.00,6.53,11.06
ws,300.17,42.75,548.40,60.22,12.87,1.70,32.23,19.11,0.00,17.13,113.37,93.24
ww,32.29,8.24,87.73,15.65,3.32,0.58,23.52,0.29,37.75,0.00,19.30,8.51
wx,102.99,34.33,149.97,40.03,2.63,0.81,5.40,2.63,144.31,5.28,0.00,63.80
wz,138.78,3.25,253.14,36.33,20.77,4.56,45.05,5.19,108.00,6.64,123.21,0.00
