,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,19.92,61.93,2.86,3.41,0.58,1.15,0.13,53.40,2.48,34.16,28.22
wg,10.34,0.00,1.57,0.65,0.37,1.58,0.79,0.00,6.48,2.19,2.81,1.83
wh,104.86,2.77,0.00,49.79,4.53,2.22,16.66,3.47,123.45,8.66,58.54,29.63
wl,2.88,0.09,19.40,0.00,0.00,0.00,0.68,1.38,17.08,2.15,4.16,2.90
wm,1.12,0.00,4.95,1.26,0.00,0.00,0.32,0.00,0.67,1.56,0.34,5.64
wn,0.26,0.00,5.40,0.00,0.00,0.00,0.40,0.00,0.36,0.00,1.81,0.60
wo,4.36,1.81,11.27,0.55,0.61,0.75,0.00,2.87,10.90,1.56,0.37,9.91
wq,3.12,0.31,7.44,0.52,0.00,0.00,0.04,0.00,0.54,0.00,2.90,1.50
ws,82.73,6.77,101.36,23.13,2.01,0.26,4.77,1.44,0.00,4.37,33.83,14.37
ww,5.75,1.27,7.50,3.73,2.15,1.37,10.23,0.00,7.15,0.00,2.05,0.33
wx,28.14,7.67,35.48,9.75,0.54,0.35,0.63,0.13,28.32,3.52,0.00,9.51
wz,39.92,3.41,63.80,12.28,6.01,0.81,7.23,2.73,16.11,2.42,31.28,0.00
