,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,4.5,4.61,3.69,6.68,4.36,14.49,40.46,5.3,3.48,3.5,3.94
wg,5.63,0.0,7.27,3.62,21.54,0.37,1.37,0.58,7.29,2.86,6.48,8.09
wh,3.92,4.18,0.0,3.18,3.82,7.73,3.42,2.95,4.74,4.21,3.84,7.14
wl,3.5,20.78,6.81,0.0,0.63,0.0,1.62,1.41,3.5,2.02,8.87,3.68
wm,5.25,1.93,4.28,2.3,0.0,2.77,44.56,1.24,10.63,2.44,2.32,11.98
wn,4.08,1.68,4.38,0.6,0.79,0.0,31.52,1.18,8.58,0.0,9.93,9.9
wo,7.03,2.25,4.83,8.73,5.54,5.27,0.0,1.7,5.59,6.6,22.76,6.62
wq,3.1,0.26,2.65,0.98,0.0,0.0,140.75,0.0,8.61,0.0,2.25,7.37
ws,3.63,6.31,5.41,2.6,6.4,6.54,6.76,13.27,0.0,3.92,3.35,6.49
ww,5.62,6.49,11.7,4.2,1.54,0.42,2.3,0.29,5.28,0.0,9.41,25.79
wx,3.66,4.48,4.23,4.11,4.87,2.31,8.57,20.23,5.1,1.5,0.0,6.71
wz,3.48,0.95,3.97,2.96,3.46,5.63,6.23,1.9,6.7,2.74,3.94,0.0
