,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,3.71,6.23,3.96,80.65,0.0,6.09,3.14,5.69,6.81,3.67,3.0
wg,4.55,0.0,5.3,3.41,0.13,0.0,0.0,1.25,3.03,4.41,6.16,4.09
wh,4.47,2.95,0.0,6.37,2.97,2.6,9.35,35.5,4.66,7.85,4.01,3.36
wl,9.69,3.33,4.67,0.0,0.0,0.0,1.32,1.25,11.17,14.71,2.48,10.22
wm,0.7,0.0,7.55,0.0,0.0,0.0,2.31,0.0,8.19,0.0,1.0,1.84
wn,0.17,0.0,6.1,0.0,0.0,0.0,13.26,0.0,0.0,0.0,1.46,0.73
wo,2.66,1.96,8.82,1.71,76.3,6.47,0.0,0.29,0.82,4.91,2.41,3.62
wq,4.53,3.83,5.42,3.41,0.0,0.0,1.55,0.0,10.03,0.0,1.15,2.77
ws,5.13,2.97,13.0,6.63,2.71,0.75,8.28,52.0,0.0,7.33,3.55,3.01
ww,28.25,9.0,15.56,1.67,0.0,0.0,32.0,0.0,2.37,0.0,57.07,0.18
wx,3.65,3.63,13.4,13.8,0.0,0.29,0.02,0.33,6.01,3.85,0.0,1.69
wz,4.82,17.5,7.64,9.0,18.5,2.74,7.29,0.84,3.4,1.18,5.96,0.0
