,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,44.41,51.14,6.37,18.55,0.00,4.20,2.04,72.18,3.61,23.42,6.37
wg,21.54,0.00,19.56,3.31,0.13,0.00,0.00,0.71,12.59,10.99,6.90,3.31
wh,41.90,13.52,0.00,34.34,3.89,3.17,19.63,0.71,149.78,20.72,63.66,43.04
wl,1.55,11.78,19.51,0.00,0.00,0.00,1.32,0.71,9.05,1.03,5.11,0.92
wm,1.68,0.00,4.98,0.00,0.00,0.00,5.26,0.00,2.95,0.00,1.00,3.02
wn,0.17,0.00,14.27,0.00,0.00,0.00,6.23,0.00,0.00,0.00,1.46,0.73
wo,3.85,1.12,19.32,1.71,17.55,1.23,0.00,0.29,3.83,2.21,2.41,6.55
wq,3.26,5.55,12.36,3.31,0.00,0.00,1.55,0.00,5.92,0.00,1.36,0.83
ws,53.91,29.67,158.59,17.37,1.30,0.75,12.59,1.04,0.00,17.22,55.60,21.04
ww,2.26,7.38,16.03,1.67,0.00,0.00,1.28,0.00,4.59,0.00,7.99,0.07
wx,15.34,4.21,34.57,4.14,0.00,0.29,0.02,0.33,37.68,2.12,0.00,2.90
wz,7.08,1.40,50.22,2.61,9.99,1.04,24.72,0.84,21.14,1.18,20.40,0.00
