,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,11.98,8.21,1.61,0.23,0.00,0.69,0.65,12.69,0.53,6.39,2.12
wg,4.73,0.00,3.69,0.97,0.00,0.00,0.04,0.57,4.16,2.49,1.12,0.81
wh,9.37,4.58,0.00,5.39,1.31,1.22,2.10,0.02,32.15,2.64,15.89,12.81
wl,0.16,3.54,4.18,0.00,0.00,0.00,0.00,0.57,0.81,0.07,2.06,0.09
wm,2.40,0.72,0.66,0.02,0.00,0.76,2.28,0.00,0.36,0.00,0.00,1.64
wn,0.00,0.72,2.34,0.00,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00
wo,1.45,0.57,2.19,0.00,0.23,0.19,0.00,0.00,4.66,0.45,0.00,1.81
wq,0.72,1.45,2.28,0.97,0.00,0.00,0.00,0.00,0.59,0.00,1.18,0.30
ws,10.51,9.98,12.20,2.62,0.48,0.00,1.52,0.02,0.00,2.35,15.68,7.00
ww,0.08,0.82,1.03,0.00,0.00,0.00,0.04,0.00,1.94,0.00,0.14,0.38
wx,4.20,1.16,2.58,0.30,0.37,0.00,1.01,0.00,6.27,0.55,0.00,1.72
wz,1.47,0.08,6.57,0.29,0.54,0.38,3.39,0.00,6.21,0.00,3.42,0.00
