,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,69.73,223.34,7.69,19.37,1.95,15.51,5.13,229.85,6.16,85.43,82.96
wg,47.91,0.0,9.85,1.7,7.6,-1.0,0.29,0.58,40.79,4.07,15.4,12.98
wh,305.91,8.8,0.0,108.57,12.78,14.95,40.33,6.78,462.02,27.79,166.06,181.91
wl,7.2,1.78,112.65,0.0,0.63,0.0,0.42,0.57,42.73,2.19,32.74,7.77
wm,4.76,1.93,16.26,1.64,0.0,2.77,13.94,1.24,6.45,2.24,0.45,61.95
wn,0.8,1.68,18.23,0.6,0.79,0.0,12.21,1.18,2.73,0.0,16.17,5.34
wo,26.29,2.26,43.16,4.25,2.77,3.2,0.0,2.01,50.06,8.74,8.05,55.66
wq,6.54,-0.23,12.29,-0.01,0.0,0.0,5.59,0.0,4.11,0.0,3.63,9.56
ws,217.44,35.98,447.04,37.09,10.86,1.44,27.46,17.67,0.0,12.76,79.54,78.87
ww,26.54,6.97,80.23,11.92,1.17,-0.79,13.29,0.29,30.6,0.0,17.25,8.18
wx,74.85,26.66,114.49,30.28,2.09,0.46,4.77,2.5,115.99,1.76,0.0,54.29
wz,98.86,-0.16,189.34,24.05,14.76,3.75,37.82,2.46,91.89,4.22,91.93,0.0
