,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,32.43,42.93,4.76,18.32,0.0,3.51,1.39,59.49,3.08,17.03,4.25
wg,16.81,0.0,15.87,2.34,0.13,0.0,-0.04,0.14,8.43,8.5,5.78,2.5
wh,32.53,8.94,0.0,28.95,2.58,1.95,17.53,0.69,117.63,18.08,47.77,30.23
wl,1.39,8.24,15.33,0.0,0.0,0.0,1.32,0.14,8.24,0.96,3.05,0.83
wm,-0.72,-0.72,4.32,-0.02,0.0,-0.76,2.98,0.0,2.59,0.0,1.0,1.38
wn,0.17,-0.72,11.93,0.0,0.0,0.0,5.76,0.0,0.0,0.0,1.46,0.73
wo,2.4,0.55,17.13,1.71,17.32,1.04,0.0,0.29,-0.83,1.76,2.41,4.74
wq,2.54,4.1,10.08,2.34,0.0,0.0,1.55,0.0,5.33,0.0,0.18,0.53
ws,43.4,19.69,146.39,14.75,0.82,0.75,11.07,1.02,0.0,14.87,39.92,14.04
ww,2.18,6.56,15.0,1.67,0.0,0.0,1.24,0.0,2.65,0.0,7.85,-0.31
wx,11.14,3.05,31.99,3.84,-0.37,0.29,-0.99,0.33,31.41,1.57,0.0,1.18
wz,5.61,1.32,43.65,2.32,9.45,0.66,21.33,0.84,14.93,1.18,16.98,0.0
