,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,147.60,513.41,17.26,30.10,4.36,25.20,7.70,507.73,15.96,215.36,194.14
wg,93.02,0.00,15.69,2.35,9.19,1.19,1.69,1.19,101.56,11.75,30.41,33.72
wh,707.23,21.94,0.00,257.79,25.85,29.37,81.39,18.18,957.57,61.46,363.68,384.78
wl,18.01,3.70,227.82,0.00,1.24,0.00,2.93,4.39,106.17,6.78,68.62,24.09
wm,10.15,1.93,29.75,2.90,0.00,7.65,19.75,2.46,13.22,6.24,0.79,131.03
wn,1.06,1.68,46.81,1.21,1.40,0.00,16.27,1.18,4.31,0.00,30.79,10.82
wo,49.56,8.95,99.57,9.07,4.60,8.22,0.00,6.10,85.36,17.62,16.96,138.77
wq,13.93,0.08,28.27,0.51,0.00,0.00,7.46,0.00,6.48,0.00,10.19,26.31
ws,508.18,76.91,908.30,91.33,17.75,3.53,44.43,23.38,0.00,34.21,199.38,190.84
ww,45.71,18.00,165.81,24.19,3.93,1.19,30.84,0.90,65.81,0.00,32.72,20.10
wx,190.22,59.34,270.75,61.38,4.46,2.03,8.45,3.24,246.79,10.77,0.00,132.12
wz,240.04,6.91,411.74,59.51,36.63,13.10,71.28,10.68,188.52,12.74,208.61,0.00
