,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,7.41,8.29,6.03,8.83,7.52,21.91,59.23,9.51,6.44,6.3,6.88
wg,9.0,0.0,9.99,3.62,24.84,0.75,2.14,1.19,15.67,5.37,10.82,18.43
wh,6.74,7.92,0.0,5.18,5.71,13.23,4.89,5.24,7.76,7.1,6.21,12.99
wl,6.25,41.11,11.74,0.0,1.24,0.0,4.31,3.18,6.22,3.15,16.5,8.31
wm,9.06,1.93,6.01,2.3,0.0,7.65,61.72,2.46,19.73,4.0,2.32,23.23
wn,4.08,1.68,8.67,1.21,1.4,0.0,40.67,1.18,11.97,0.0,17.01,18.03
wo,11.37,4.94,8.83,16.49,7.54,10.96,0.0,2.13,7.83,11.29,45.84,14.0
wq,4.46,0.26,3.8,0.98,0.0,0.0,186.5,0.0,12.0,0.0,3.51,17.54
ws,6.14,11.36,8.96,3.95,8.83,13.58,9.31,16.24,0.0,7.83,5.89,13.28
ww,7.95,14.17,22.11,6.49,1.83,0.87,3.01,0.9,9.2,0.0,15.96,60.91
wx,6.76,7.74,7.63,6.3,8.26,5.8,13.41,24.92,8.71,3.06,0.0,13.89
wz,6.01,2.03,6.45,4.85,6.09,16.17,9.86,3.91,11.7,5.26,6.67,0.0
