,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,4.88,6.97,5.85,245.09,0.0,8.74,5.95,7.47,9.11,4.52,3.58
wg,6.1,0.0,5.8,5.3,0.13,0.0,0.0,3.39,4.05,5.64,7.25,5.59
wh,5.38,4.28,0.0,8.07,4.37,3.1,12.83,35.5,5.95,10.85,5.12,4.12
wl,13.5,5.74,5.69,0.0,0.0,0.0,1.32,3.39,15.69,14.71,3.67,17.0
wm,0.7,0.0,9.39,0.0,0.0,0.0,2.84,0.0,8.19,0.0,1.61,2.59
wn,0.17,0.0,6.36,0.0,0.0,0.0,14.55,0.0,0.0,0.0,1.46,0.73
wo,5.6,3.04,18.57,1.71,235.43,6.47,0.0,0.29,0.82,6.27,2.41,6.31
wq,7.07,5.93,5.42,5.3,0.0,0.0,1.55,0.0,13.14,0.0,1.67,2.77
ws,6.46,4.2,17.55,9.19,3.98,0.75,11.89,52.0,0.0,9.66,4.52,3.96
ww,28.25,9.0,23.85,2.89,0.0,0.0,32.0,0.0,3.94,0.0,70.14,0.18
wx,4.09,5.73,17.42,26.0,0.0,0.9,0.02,0.33,8.54,3.85,0.0,2.4
wz,6.89,17.5,13.96,13.21,21.89,4.34,9.27,0.84,5.37,3.01,7.93,0.0
