,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,58.44,57.24,9.42,56.37,0.00,6.03,3.87,94.75,4.83,28.91,7.59
wg,28.86,0.00,21.39,5.14,0.13,0.00,0.00,1.93,16.86,14.04,8.12,4.53
wh,50.44,19.62,0.00,43.49,5.72,3.78,26.95,0.71,191.26,28.65,81.35,52.80
wl,2.16,20.32,23.78,0.00,0.00,0.00,1.32,1.93,12.71,1.03,7.55,1.53
wm,1.68,0.00,6.20,0.00,0.00,0.00,6.48,0.00,2.95,0.00,1.61,4.24
wn,0.17,0.00,14.88,0.00,0.00,0.00,6.84,0.00,0.00,0.00,1.46,0.73
wo,8.12,1.73,40.67,1.71,54.15,1.23,0.00,0.29,3.83,2.82,2.41,11.43
wq,5.09,8.60,12.36,5.14,0.00,0.00,1.55,0.00,7.75,0.00,1.97,0.83
ws,67.94,41.87,214.10,24.08,1.91,0.75,18.08,1.04,0.00,22.71,70.85,27.75
ww,2.26,7.38,24.57,2.89,0.00,0.00,1.28,0.00,7.64,0.00,9.82,0.07
wx,17.17,6.65,44.94,7.80,0.00,0.90,0.02,0.33,53.54,2.12,0.00,4.12
wz,10.13,1.40,91.70,3.83,11.82,1.65,31.43,0.84,33.34,3.01,27.11,0.00
