,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,127.68,451.48,14.4,26.69,3.78,24.05,7.57,454.33,13.48,181.2,165.92
wg,82.68,0.0,14.12,1.7,8.82,-0.39,0.9,1.19,95.08,9.56,27.6,31.89
wh,602.37,19.17,0.0,208.0,21.32,27.15,64.73,14.71,834.12,52.8,305.14,355.15
wl,15.13,3.61,208.42,0.0,1.24,0.0,2.25,3.01,89.09,4.63,64.46,21.19
wm,9.03,1.93,24.8,1.64,0.0,7.65,19.43,2.46,12.55,4.68,0.45,125.39
wn,0.8,1.68,41.41,1.21,1.4,0.0,15.87,1.18,3.95,0.0,28.98,10.22
wo,45.2,7.14,88.3,8.52,3.99,7.47,0.0,3.23,74.46,16.06,16.59,128.86
wq,10.81,-0.23,20.83,-0.01,0.0,0.0,7.42,0.0,5.94,0.0,7.29,24.81
ws,425.45,70.14,806.94,68.2,15.74,3.27,39.66,21.94,0.0,29.84,165.55,176.47
ww,39.96,16.73,158.31,20.46,1.78,-0.18,20.61,0.9,58.66,0.0,30.67,19.77
wx,162.08,51.67,235.27,51.63,3.92,1.68,7.82,3.11,218.47,7.25,0.0,122.61
wz,200.12,3.5,347.94,47.23,30.62,12.29,64.05,7.95,172.41,10.32,177.33,0.0
