,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,46.46,49.03,7.81,56.14,0.0,5.34,3.22,82.06,4.3,22.52,5.47
wg,24.13,0.0,17.7,4.17,0.13,0.0,-0.04,1.36,12.7,11.55,7.0,3.72
wh,41.07,15.04,0.0,38.1,4.41,2.56,24.85,0.69,159.11,26.01,65.46,39.99
wl,2.0,16.78,19.6,0.0,0.0,0.0,1.32,1.36,11.9,0.96,5.49,1.44
wm,-0.72,-0.72,5.54,-0.02,0.0,-0.76,4.2,0.0,2.59,0.0,1.61,2.6
wn,0.17,-0.72,12.54,0.0,0.0,0.0,6.37,0.0,0.0,0.0,1.46,0.73
wo,6.67,1.16,38.48,1.71,53.92,1.04,0.0,0.29,-0.83,2.37,2.41,9.62
wq,4.37,7.15,10.08,4.17,0.0,0.0,1.55,0.0,7.16,0.0,0.79,0.53
ws,57.43,31.89,201.9,21.46,1.43,0.75,16.56,1.02,0.0,20.36,55.17,20.75
ww,2.18,6.56,23.54,2.89,0.0,0.0,1.24,0.0,5.7,0.0,9.68,-0.31
wx,12.97,5.49,42.36,7.5,-0.37,0.9,-0.99,0.33,47.27,1.57,0.0,2.4
wz,8.66,1.32,85.13,3.54,11.28,1.27,28.04,0.84,27.13,3.01,23.69,0.0
