,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,227.00,722.00,28.00,38.00,5.00,35.00,10.00,737.00,23.00,314.00,308.00
wg,139.00,0.00,27.00,6.00,9.00,2.00,3.00,1.00,143.00,21.00,39.00,46.00
wh,1038.00,34.00,0.00,375.00,46.00,43.00,137.00,29.00,1407.00,93.00,553.00,533.00
wl,24.00,5.00,320.00,0.00,2.00,0.00,6.00,6.00,140.00,13.00,101.00,31.00
wm,14.00,3.00,51.00,3.00,0.00,9.00,32.00,4.00,19.00,12.00,2.00,174.00
wn,3.00,2.00,74.00,3.00,2.00,0.00,25.00,1.00,7.00,0.00,45.00,14.00
wo,70.00,13.00,143.00,14.00,9.00,11.00,0.00,11.00,121.00,30.00,20.00,191.00
wq,25.00,1.00,53.00,1.00,0.00,0.00,13.00,0.00,7.00,0.00,14.00,37.00
ws,753.00,112.00,1288.00,144.00,20.00,5.00,68.00,33.00,0.00,47.00,294.00,274.00
ww,58.00,28.00,231.00,33.00,4.00,2.00,43.00,1.00,80.00,0.00,52.00,30.00
wx,283.00,78.00,385.00,92.00,9.00,3.00,17.00,5.00,342.00,17.00,0.00,176.00
wz,367.00,14.00,596.00,84.00,56.00,19.00,115.00,18.00,271.00,20.00,301.00,0.00
