,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,28.00,132.00,4.00,5.00,1.00,3.00,0.00,100.00,4.00,68.00,51.00
wg,23.00,0.00,3.00,2.00,1.00,1.00,2.00,0.00,14.00,5.00,9.00,3.00
wh,220.00,8.00,0.00,99.00,10.00,7.00,32.00,6.00,257.00,18.00,104.00,75.00
wl,2.00,1.00,46.00,0.00,0.00,0.00,3.00,1.00,30.00,4.00,8.00,7.00
wm,4.00,0.00,10.00,2.00,0.00,0.00,3.00,0.00,3.00,4.00,1.00,7.00
wn,1.00,0.00,9.00,0.00,0.00,0.00,3.00,1.00,2.00,0.00,2.00,2.00
wo,12.00,3.00,19.00,1.00,0.00,1.00,0.00,4.00,30.00,4.00,1.00,21.00
wq,7.00,1.00,14.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,6.00,2.00
ws,168.00,12.00,211.00,42.00,2.00,0.00,14.00,4.00,0.00,12.00,73.00,24.00
ww,8.00,4.00,15.00,8.00,2.00,1.00,23.00,0.00,18.00,0.00,4.00,2.00
wx,55.00,16.00,61.00,24.00,2.00,1.00,5.00,1.00,56.00,2.00,0.00,16.00
wz,78.00,8.00,132.00,26.00,8.00,3.00,23.00,6.00,40.00,4.00,52.00,0.00
