,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,8.11,5.47,7.0,7.6,5.0,11.67,10.0,7.37,5.75,4.62,6.04
wg,6.04,0.0,9.0,3.0,9.0,2.0,1.5,1.0,10.21,4.2,4.33,15.33
wh,4.72,4.25,0.0,3.79,4.6,6.14,4.28,4.83,5.47,5.17,5.32,7.11
wl,12.0,5.0,6.96,0.0,2.0,0.0,2.0,6.0,4.67,3.25,12.62,4.43
wm,3.5,3.0,5.1,1.5,0.0,9.0,10.67,4.0,6.33,3.0,2.0,24.86
wn,3.0,2.0,8.22,3.0,2.0,0.0,8.33,1.0,3.5,0.0,22.5,7.0
wo,5.83,4.33,7.53,14.0,9.0,11.0,0.0,2.75,4.03,7.5,20.0,9.1
wq,3.57,1.0,3.79,1.0,0.0,0.0,13.0,0.0,3.5,0.0,2.33,18.5
ws,4.48,9.33,6.1,3.43,10.0,5.0,4.86,8.25,0.0,3.92,4.03,11.42
ww,7.25,7.0,15.4,4.12,2.0,2.0,1.87,1.0,4.44,0.0,13.0,15.0
wx,5.15,4.88,6.31,3.83,4.5,3.0,3.4,5.0,6.11,8.5,0.0,11.0
wz,4.71,1.75,4.52,3.23,7.0,6.33,5.0,3.0,6.78,5.0,5.79,0.0
