,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,2.97,4.53,3.2,66.0,0.0,3.33,2.0,8.81,6.0,4.4,3.5
wg,8.33,0.0,6.4,5.0,1.0,0.0,1.0,2.0,2.0,1.86,3.25,7.0
wh,3.42,6.4,0.0,6.4,2.25,3.5,6.6,2.0,5.84,11.67,4.21,3.7
wl,3.0,5.14,13.0,0.0,0.0,0.0,1.0,2.0,13.0,3.0,2.17,3.0
wm,1.0,0.0,3.0,0.0,0.0,0.0,4.5,0.0,3.0,0.0,2.0,3.0
wn,1.0,0.0,4.5,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0
wo,2.6,2.0,7.57,2.0,62.0,2.0,0.0,2.0,2.17,7.0,3.0,15.0
wq,7.0,3.4,5.67,5.0,0.0,0.0,2.0,0.0,7.0,0.0,3.0,0.0
ws,5.15,4.77,10.88,4.0,6.0,2.0,12.0,1.0,0.0,4.17,4.65,2.65
ww,1.0,11.0,18.0,4.0,0.0,0.0,2.0,0.0,3.25,0.0,5.5,1.0
wx,1.91,1.67,6.22,13.0,0.0,1.0,2.0,0.0,7.55,5.0,0.0,2.0
wz,14.0,2.0,7.65,7.0,15.0,3.0,8.2,2.0,4.3,4.0,5.0,0.0
