,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,89.00,77.00,16.00,66.00,0.00,10.00,6.00,141.00,6.00,44.00,14.00
wg,50.00,0.00,32.00,10.00,1.00,0.00,1.00,4.00,18.00,13.00,13.00,7.00
wh,65.00,32.00,0.00,64.00,9.00,7.00,33.00,2.00,257.00,35.00,122.00,85.00
wl,3.00,36.00,39.00,0.00,0.00,0.00,1.00,4.00,13.00,3.00,13.00,3.00
wm,2.00,0.00,9.00,0.00,0.00,0.00,9.00,0.00,6.00,0.00,2.00,6.00
wn,1.00,0.00,18.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,2.00,1.00
wo,13.00,2.00,53.00,2.00,62.00,2.00,0.00,2.00,13.00,7.00,3.00,15.00
wq,7.00,17.00,17.00,10.00,0.00,0.00,2.00,0.00,7.00,0.00,3.00,0.00
ws,103.00,62.00,261.00,32.00,6.00,2.00,24.00,1.00,0.00,25.00,107.00,45.00
ww,1.00,11.00,36.00,4.00,0.00,0.00,2.00,0.00,13.00,0.00,11.00,1.00
wx,21.00,10.00,56.00,13.00,0.00,1.00,2.00,0.00,83.00,5.00,0.00,10.00
wz,14.00,2.00,130.00,7.00,15.00,3.00,41.00,2.00,43.00,4.00,35.00,0.00
