,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,30.00,17.00,5.00,1.00,0.00,3.00,3.00,16.00,0.00,10.00,4.00
wg,6.00,0.00,5.00,2.00,0.00,0.00,0.00,2.00,9.00,7.00,4.00,1.00
wh,19.00,5.00,0.00,10.00,4.00,2.00,5.00,0.00,44.00,3.00,29.00,23.00
wl,0.00,7.00,3.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,6.00,0.00
wm,2.00,1.00,3.00,2.00,0.00,2.00,2.00,0.00,2.00,0.00,0.00,2.00
wn,0.00,1.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
wo,5.00,0.00,7.00,0.00,1.00,1.00,0.00,0.00,6.00,1.00,0.00,1.00
wq,0.00,5.00,3.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
ws,20.00,13.00,24.00,8.00,1.00,0.00,2.00,0.00,0.00,6.00,23.00,17.00
ww,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,2.00,1.00
wx,11.00,6.00,9.00,1.00,1.00,0.00,1.00,0.00,11.00,1.00,0.00,5.00
wz,1.00,0.00,17.00,1.00,1.00,1.00,5.00,0.00,10.00,0.00,7.00,0.00
