,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,199.0,590.0,24.0,33.0,4.0,32.0,10.0,637.0,19.0,246.0,257.0
wg,116.0,0.0,24.0,4.0,8.0,1.0,1.0,1.0,129.0,16.0,30.0,43.0
wh,818.0,26.0,0.0,276.0,36.0,36.0,105.0,23.0,1150.0,75.0,449.0,458.0
wl,22.0,4.0,274.0,0.0,2.0,0.0,3.0,5.0,110.0,9.0,93.0,24.0
wm,10.0,3.0,41.0,1.0,0.0,9.0,29.0,4.0,16.0,8.0,1.0,167.0
wn,2.0,2.0,65.0,3.0,2.0,0.0,22.0,0.0,5.0,0.0,43.0,12.0
wo,58.0,10.0,124.0,13.0,9.0,10.0,0.0,7.0,91.0,26.0,19.0,170.0
wq,18.0,0.0,39.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,8.0,35.0
ws,585.0,100.0,1077.0,102.0,18.0,5.0,54.0,29.0,0.0,35.0,221.0,250.0
ww,50.0,24.0,216.0,25.0,2.0,1.0,20.0,1.0,62.0,0.0,48.0,28.0
wx,228.0,62.0,324.0,68.0,7.0,2.0,12.0,4.0,286.0,15.0,0.0,160.0
wz,289.0,6.0,464.0,58.0,48.0,16.0,92.0,12.0,231.0,16.0,249.0,0.0
