,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,59.0,60.0,11.0,65.0,0.0,7.0,3.0,125.0,6.0,34.0,10.0
wg,44.0,0.0,27.0,8.0,1.0,0.0,1.0,2.0,9.0,6.0,9.0,6.0
wh,46.0,27.0,0.0,54.0,5.0,5.0,28.0,2.0,213.0,32.0,93.0,62.0
wl,3.0,29.0,36.0,0.0,0.0,0.0,1.0,2.0,12.0,2.0,7.0,3.0
wm,0.0,-1.0,6.0,-2.0,0.0,-2.0,7.0,0.0,4.0,0.0,2.0,4.0
wn,1.0,-1.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0
wo,8.0,2.0,46.0,2.0,61.0,1.0,0.0,2.0,7.0,6.0,3.0,14.0
wq,7.0,12.0,14.0,8.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0
ws,83.0,49.0,237.0,24.0,5.0,2.0,22.0,1.0,0.0,19.0,84.0,28.0
ww,1.0,11.0,34.0,4.0,0.0,0.0,2.0,0.0,9.0,0.0,9.0,0.0
wx,10.0,4.0,47.0,12.0,-1.0,1.0,1.0,0.0,72.0,4.0,0.0,5.0
wz,13.0,2.0,113.0,6.0,14.0,2.0,36.0,2.0,33.0,4.0,28.0,0.0
