,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,345.00,1019.00,36.00,78.00,5.00,62.00,19.00,1043.00,29.00,440.00,423.00
wg,204.00,0.00,50.00,11.00,25.00,3.00,6.00,1.00,188.00,24.00,54.00,53.00
wh,1498.00,48.00,0.00,544.00,69.00,56.00,221.00,43.00,2118.00,132.00,802.00,718.00
wl,31.00,6.00,465.00,0.00,2.00,0.00,7.00,8.00,217.00,19.00,124.00,37.00
wm,22.00,9.00,91.00,6.00,0.00,10.00,52.00,4.00,27.00,14.00,3.00,243.00
wn,5.00,8.00,95.00,4.00,4.00,0.00,39.00,4.00,12.00,0.00,61.00,22.00
wo,123.00,15.00,208.00,20.00,11.00,13.00,0.00,30.00,239.00,36.00,23.00,236.00
wq,37.00,1.00,83.00,2.00,0.00,0.00,29.00,0.00,16.00,0.00,21.00,41.00
ws,1075.00,164.00,1900.00,234.00,37.00,5.00,129.00,83.00,0.00,67.00,399.00,345.00
ww,117.00,30.00,310.00,59.00,11.00,3.00,71.00,1.00,127.00,0.00,73.00,35.00
wx,371.00,118.00,547.00,132.00,14.00,3.00,24.00,10.00,515.00,23.00,0.00,220.00
wz,560.00,19.00,887.00,118.00,78.00,21.00,181.00,28.00,408.00,26.00,425.00,0.00
