,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,33.00,174.00,6.00,7.00,1.00,5.00,0.00,142.00,4.00,90.00,64.00
wg,30.00,0.00,3.00,2.00,1.00,3.00,4.00,0.00,18.00,7.00,9.00,6.00
wh,325.00,10.00,0.00,146.00,12.00,9.00,40.00,9.00,364.00,21.00,134.00,95.00
wl,3.00,1.00,54.00,0.00,0.00,0.00,3.00,2.00,54.00,5.00,10.00,10.00
wm,4.00,0.00,15.00,4.00,0.00,0.00,3.00,0.00,5.00,4.00,1.00,9.00
wn,1.00,0.00,9.00,0.00,0.00,0.00,3.00,1.00,2.00,0.00,3.00,2.00
wo,15.00,3.00,26.00,1.00,0.00,1.00,0.00,5.00,37.00,6.00,1.00,28.00
wq,9.00,1.00,18.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,7.00,4.00
ws,222.00,15.00,287.00,66.00,5.00,0.00,16.00,4.00,0.00,14.00,95.00,34.00
ww,14.00,5.00,19.00,10.00,6.00,3.00,30.00,0.00,26.00,0.00,7.00,2.00
wx,75.00,18.00,82.00,29.00,3.00,1.00,5.00,1.00,89.00,2.00,0.00,23.00
wz,115.00,9.00,163.00,36.00,9.00,3.00,24.00,9.00,52.00,4.00,73.00,0.00
