,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,10.45,5.86,6.0,11.14,5.0,12.4,19.0,7.35,7.25,4.89,6.61
wg,6.8,0.0,16.67,5.5,25.0,1.0,1.5,1.0,10.44,3.43,6.0,8.83
wh,4.61,4.8,0.0,3.73,5.75,6.22,5.52,4.78,5.82,6.29,5.99,7.56
wl,10.33,6.0,8.61,0.0,2.0,0.0,2.33,4.0,4.02,3.8,12.4,3.7
wm,5.5,9.0,6.07,1.5,0.0,10.0,17.33,4.0,5.4,3.5,3.0,27.0
wn,5.0,8.0,10.56,4.0,4.0,0.0,13.0,4.0,6.0,0.0,20.33,11.0
wo,8.2,5.0,8.0,20.0,11.0,13.0,0.0,6.0,6.46,6.0,23.0,8.43
wq,4.11,1.0,4.61,1.0,0.0,0.0,29.0,0.0,8.0,0.0,3.0,10.25
ws,4.84,10.93,6.62,3.55,7.4,5.0,8.06,20.75,0.0,4.79,4.2,10.15
ww,8.36,6.0,16.32,5.9,1.83,1.0,2.37,1.0,4.88,0.0,10.43,17.5
wx,4.95,6.56,6.67,4.55,4.67,3.0,4.8,10.0,5.79,11.5,0.0,9.57
wz,4.87,2.11,5.44,3.28,8.67,7.0,7.54,3.11,7.85,6.5,5.82,0.0
