,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,3.9,9.05,5.0,67.0,0.0,4.33,2.0,11.62,17.0,7.5,6.25
wg,9.22,0.0,10.29,7.0,1.0,0.0,1.0,2.0,4.2,3.0,6.8,6.5
wh,5.41,7.43,0.0,9.0,2.33,4.67,12.0,2.0,8.62,25.0,5.7,4.38
wl,4.0,4.78,14.2,0.0,0.0,0.0,5.0,2.0,30.0,5.0,3.43,5.0
wm,3.0,0.0,4.75,0.0,0.0,0.0,3.67,0.0,3.67,0.0,2.0,2.25
wn,1.0,0.0,11.25,0.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,1.0
wo,3.0,3.0,8.38,8.0,63.0,3.0,0.0,2.0,2.6,10.0,7.0,7.0
wq,11.0,3.17,8.8,7.0,0.0,0.0,5.0,0.0,18.0,0.0,7.0,0.0
ws,9.22,5.5,16.35,4.58,8.0,3.0,23.0,1.0,0.0,6.86,5.65,3.29
ww,6.0,24.0,39.0,6.0,0.0,0.0,5.0,0.0,4.5,0.0,9.33,0.33
wx,3.6,3.17,12.8,19.0,0.0,1.0,3.0,0.0,10.13,16.0,0.0,1.86
wz,23.0,4.0,8.23,9.0,30.0,4.0,7.0,2.0,5.57,6.0,8.38,0.0
