,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,152.00,190.00,25.00,67.00,0.00,13.00,6.00,244.00,17.00,90.00,25.00
wg,83.00,0.00,72.00,14.00,1.00,0.00,1.00,4.00,42.00,24.00,34.00,13.00
wh,146.00,52.00,0.00,135.00,14.00,14.00,72.00,2.00,517.00,75.00,245.00,162.00
wl,4.00,43.00,71.00,0.00,0.00,0.00,5.00,4.00,30.00,5.00,24.00,5.00
wm,6.00,0.00,19.00,0.00,0.00,0.00,22.00,0.00,11.00,0.00,2.00,9.00
wn,1.00,0.00,45.00,0.00,0.00,0.00,24.00,0.00,0.00,0.00,5.00,1.00
wo,18.00,3.00,67.00,8.00,63.00,3.00,0.00,2.00,26.00,10.00,7.00,21.00
wq,11.00,19.00,44.00,14.00,0.00,0.00,5.00,0.00,18.00,0.00,7.00,0.00
ws,212.00,99.00,507.00,55.00,8.00,3.00,46.00,1.00,0.00,48.00,209.00,79.00
ww,6.00,24.00,78.00,6.00,0.00,0.00,5.00,0.00,18.00,0.00,28.00,1.00
wx,54.00,19.00,128.00,19.00,0.00,1.00,3.00,0.00,152.00,16.00,0.00,13.00
wz,23.00,4.00,181.00,9.00,30.00,4.00,70.00,2.00,78.00,6.00,67.00,0.00
