,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.00,39.00,21.00,5.00,1.00,0.00,3.00,3.00,21.00,0.00,12.00,4.00
wg,9.00,0.00,7.00,2.00,0.00,0.00,0.00,2.00,10.00,8.00,5.00,2.00
wh,27.00,7.00,0.00,15.00,6.00,3.00,6.00,0.00,60.00,3.00,43.00,37.00
wl,0.00,9.00,5.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,7.00,0.00
wm,2.00,2.00,4.00,2.00,0.00,2.00,6.00,0.00,3.00,0.00,0.00,4.00
wn,0.00,2.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
wo,6.00,0.00,8.00,0.00,1.00,1.00,0.00,0.00,10.00,1.00,0.00,3.00
wq,0.00,6.00,5.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00
ws,23.00,18.00,31.00,12.00,1.00,0.00,2.00,0.00,0.00,7.00,37.00,24.00
ww,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,3.00,3.00
wx,15.00,6.00,10.00,1.00,1.00,0.00,1.00,0.00,15.00,1.00,0.00,7.00
wz,1.00,0.00,22.00,1.00,1.00,1.00,10.00,0.00,14.00,0.00,8.00,0.00
