,a,g,h,l,m,n,o,q,s,w,x,z
wa,0.0,312.0,845.0,30.0,71.0,4.0,57.0,19.0,901.0,25.0,350.0,359.0
wg,174.0,0.0,47.0,9.0,24.0,0.0,2.0,1.0,170.0,17.0,45.0,47.0
wh,1173.0,38.0,0.0,398.0,57.0,47.0,181.0,34.0,1754.0,111.0,668.0,623.0
wl,28.0,5.0,411.0,0.0,2.0,0.0,4.0,6.0,163.0,14.0,114.0,27.0
wm,18.0,9.0,76.0,2.0,0.0,10.0,49.0,4.0,22.0,10.0,2.0,234.0
wn,4.0,8.0,86.0,4.0,4.0,0.0,36.0,3.0,10.0,0.0,58.0,20.0
wo,108.0,12.0,182.0,19.0,11.0,12.0,0.0,25.0,202.0,30.0,22.0,208.0
wq,28.0,0.0,65.0,0.0,0.0,0.0,29.0,0.0,14.0,0.0,14.0,37.0
ws,853.0,149.0,1613.0,168.0,32.0,5.0,113.0,79.0,0.0,53.0,304.0,311.0
ww,103.0,25.0,291.0,49.0,5.0,0.0,41.0,1.0,101.0,0.0,66.0,33.0
wx,296.0,100.0,465.0,103.0,11.0,2.0,19.0,9.0,426.0,21.0,0.0,197.0
wz,445.0,10.0,724.0,82.0,69.0,18.0,157.0,19.0,356.0,22.0,352.0,0.0
